2019-06-24 16:03:06,745 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:07,841 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:08,937 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:10,034 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:11,139 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:12,243 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:13,337 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:14,434 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:15,539 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:16,645 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:17,738 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:18,839 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:19,933 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:21,027 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:22,149 | imap_monitor | INFO | no new messages seen
